Spectrum Version: 5.441,,
country,indicator,value
Brazil,Population aged 15-49 in 2015,110690014
Cambodia,Population aged 15-49 in 2015,8420687
Cameroon,Population aged 15-49 in 2015,11218854
China,Population aged 15-49 in 2015,752014584
Cote d'Ivoire,Population aged 15-49 in 2015,11189062
DRC,Population aged 15-49 in 2015,33036305
Ethiopia,Population aged 15-49 in 2015,48648892
Haiti,Population aged 15-49 in 2015,5740923
Indonesia,Population aged 15-49 in 2015,138544295
Jamaica,Population aged 15-49 in 2015,1510354
Kenya,Population aged 15-49 in 2015,21435381
Malawi,Population aged 15-49 in 2015,8064753
Morocco,Population aged 15-49 in 2015,17815237
Mozambique,Population aged 15-49 in 2015,11542234
Myanmar,Population aged 15-49 in 2015,27504176
Nigeria,Population aged 15-49 in 2015,87258045
Pakistan,Population aged 15-49 in 2015,96327005
Philippines,Population aged 15-49 in 2015,52715815
Russia,Population aged 15-49 in 2015,68468847
South Sudan,Population aged 15-49 in 2015,5911054
South Africa,Population aged 15-49 in 2015,29782872
Thailand,Population aged 15-49 in 2015,33525686
Tanzania,Population aged 15-49 in 2015,23286677
Uganda,Population aged 15-49 in 2015,16581509
Ukraine,Population aged 15-49 in 2015,21200999
Vietnam,Population aged 15-49 in 2015,50316826
Zambia,Population aged 15-49 in 2015,7320551
Zimbabwe,Population aged 15-49 in 2015,7753179
